,vot,f0,dec,condition,subject,accuracy
384,2,4,0.20657092,clear,48_52,0.20657092
385,2,4,0.22335652,noise,48_52,0.22335652
386,6,4,0.8059182,clear,48_52,0.20657092
387,6,4,0.79069144,noise,48_52,0.22335652
388,4,2,0.7302523,noise,48_52,0.28514168
389,4,2,0.7146406,clear,48_52,0.29601544
390,4,6,0.28514168,noise,48_52,0.28514168
391,4,6,0.29601544,clear,48_52,0.29601544
392,2,4,0.21082845,clear,49_51,0.21082845
393,2,4,0.21943791,noise,49_51,0.21943791
394,6,4,0.79731506,clear,49_51,0.21082845
395,6,4,0.7896438,noise,49_51,0.21943791
396,4,2,0.7252717,noise,49_51,0.2864395
397,4,2,0.7175132,clear,49_51,0.29198155
398,4,6,0.2864395,noise,49_51,0.2864395
399,4,6,0.29198155,clear,49_51,0.29198155
400,2,4,0.21369821,clear,50_50,0.21369821
401,2,4,0.21369821,noise,50_50,0.21369821
402,6,4,0.7917017,clear,50_50,0.21369821
403,6,4,0.7917017,noise,50_50,0.21369821
404,4,2,0.72847795,noise,50_50,0.2933443
405,4,2,0.72847795,clear,50_50,0.2933443
406,4,6,0.2933443,noise,50_50,0.2933443
407,4,6,0.2933443,clear,50_50,0.2933443
408,2,4,0.22232,clear,51_49,0.22232
409,2,4,0.21387324,noise,51_49,0.21387324
410,6,4,0.78920275,clear,51_49,0.22232
411,6,4,0.79683715,noise,51_49,0.21387324
412,4,2,0.7234665,noise,51_49,0.29586744
413,4,2,0.7311197,clear,51_49,0.29049957
414,4,6,0.29586744,noise,51_49,0.29586744
415,4,6,0.29049957,clear,51_49,0.29049957
416,2,4,0.21935214,clear,52_48,0.21935214
417,2,4,0.201859,noise,52_48,0.201859
418,6,4,0.7824104,clear,52_48,0.21935214
419,6,4,0.79778516,noise,52_48,0.201859
420,4,2,0.71495074,noise,52_48,0.29199904
421,4,2,0.7310659,clear,52_48,0.28054512
422,4,6,0.29199904,noise,52_48,0.29199904
423,4,6,0.28054512,clear,52_48,0.28054512
424,2,4,0.22275296,clear,53_47,0.22275296
425,2,4,0.19738613,noise,53_47,0.19738613
426,6,4,0.7842596,clear,53_47,0.22275296
427,6,4,0.80583817,noise,53_47,0.19738613
428,4,2,0.7111078,noise,53_47,0.30261427
429,4,2,0.7345157,clear,53_47,0.28577644
430,4,6,0.30261427,noise,53_47,0.30261427
431,4,6,0.28577644,clear,53_47,0.28577644
432,2,4,0.23180172,clear,54_46,0.23180172
433,2,4,0.19799581,noise,54_46,0.19799581
434,6,4,0.7842525,clear,54_46,0.23180172
435,6,4,0.814423,noise,54_46,0.19799581
436,4,2,0.7139562,noise,54_46,0.3012423
437,4,2,0.74582374,clear,54_46,0.27778155
438,4,6,0.3012423,noise,54_46,0.3012423
439,4,6,0.27778155,clear,54_46,0.27778155
440,2,4,0.23190036,clear,55_45,0.23190036
441,2,4,0.18909429,noise,55_45,0.18909429
442,6,4,0.77694315,clear,55_45,0.23190036
443,6,4,0.8152585,noise,55_45,0.18909429
444,4,2,0.7042115,noise,55_45,0.30619135
445,4,2,0.74304557,clear,55_45,0.27771938
446,4,6,0.30619135,noise,55_45,0.30619135
447,4,6,0.27771938,clear,55_45,0.27771938
448,2,4,0.23595077,clear,56_44,0.23595077
449,2,4,0.18657464,noise,56_44,0.18657464
450,6,4,0.77059275,clear,56_44,0.23595077
451,6,4,0.8172641,noise,56_44,0.18657464
452,4,2,0.69800705,noise,56_44,0.30804965
453,4,2,0.74431545,clear,56_44,0.27455366
454,4,6,0.30804965,noise,56_44,0.30804965
455,4,6,0.27455366,clear,56_44,0.27455366
456,2,4,0.24064632,clear,57_43,0.24064632
